hours,bike,bike_transit,car,drive_transit,ride_hail,ride_hail_pooled,ride_hail_transit,walk,walk_transit
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,123.5,0,55955.5,3257.3333333333476,2328.5,0,0,15683.0,9628.500000000002
6,265.5,0,126712.33333333333,6804.3333333331475,5252.416666666666,1.6666666666666665,0,39197.66666666677,26399.8333333332
7,529.0,0.5,273289.333333333,11824.833333335035,11440.416666666702,21.416666666666654,0,131216.66666666477,64812.83333333578
8,515.5,3.25,289573.1666666661,8751.166666666664,16008.583333333465,104.58333333333292,2.0,164218.08333335692,64752.25000000656
9,280.0,4.75,165111.50000000017,3460.9166666667734,13600.500000000044,46.58333333333341,2.0,75814.08333331958,33500.2499999987
10,259.0,9.75,179080.50000000032,2223.0833333333453,14706.750000000113,104.583333333333,0,67766.08333332845,27215.99999999899
11,325.0,8.833333333333332,184855.50000000067,2202.9166666666747,14992.50000000013,154.4166666666664,2.0,68738.08333333135,26550.91666666637
12,315.5,3.25,194469.50000000047,2288.8333333333517,15651.0000000001,107.41666666666629,1.0,72987.58333333221,27977.666666666475
13,376.5,3.8333333333333335,210414.6666666671,2192.666666666678,16656.999999999865,126.9999999999995,1.5,73493.58333333237,30255.583333333154
14,337.0,5.749999999999999,208546.16666666704,2533.0000000000095,17376.6666666665,123.83333333333292,2.5,75926.49999999891,33355.666666666686
15,355.5,4.416666666666667,226224.50000000044,3494.0000000000077,18334.416666666515,115.41666666666636,1.0,88547.4999999994,40380.58333333356
16,401.5,1.4166666666666665,225617.66666666692,4812.166666666643,17744.9166666666,67.7500000000001,0,82287.58333333285,41701.91666666678
17,410.0,2.083333333333333,262711.9999999995,6816.83333333329,17189.91666666657,70.00000000000004,3.5,90725.83333333279,48313.916666666955
18,399.5,3.0833333333333335,255976.83333333358,6945.666666666635,16669.583333333183,79.91666666666669,0,92603.99999999916,44957.83333333364
19,263.0,2.25,164082.16666666692,3400.833333333342,11358.583333333369,56.583333333333364,0,68281.74999999911,26525.416666666482
20,210.0,1.9999999999999998,141735.66666666712,2583.66666666667,9186.750000000085,103.33333333333317,0,64415.500000000386,19586.24999999991
21,204.5,5.916666666666666,134100.00000000093,2176.999999999999,7261.499999999928,156.50000000000017,0,62733.00000000037,15755.666666666695
22,109.5,0.3333333333333333,84719.49999999978,890.8333333333335,3756.5000000000136,78.83333333333334,0,48623.16666666684,7603.916666666657
23,84.5,2.1666666666666665,71916.8333333331,473.0,2234.8333333333376,75.83333333333334,0,45643.16666666685,4252.166666666667
24,38.0,0,48586.33333333336,0,864.1666666666671,22.333333333333332,0,38220.50000000006,0
25,42.0,0,43038.16666666668,0,298.33333333333326,6.666666666666665,0,34663.00000000001,0
26,21.0,0,39390.83333333334,0,87.33333333333327,5.499999999999999,0,32044.499999999993,0
27,27.0,0,35240.33333333334,0,35.0,1.9999999999999998,0,30277.499999999996,0
28,25.0,0,33149.33333333334,0,28.83333333333333,1.3333333333333333,0,28560.333333333332,0
29,23.0,0,30243.499999999996,0,19.999999999999996,3.3333333333333335,0,26083.83333333333,0
